Mã PKKH,Mô tả Phân Khúc Khách hàng,Mã mặt hàng,Tên mặt hàng,percentage
C2,"CBCNV nhà nước, quản lý quan tâm sản phẩm cho bệnh lý",SOG02,Sữa óc chó hạnh nhân đậu đen Hàn Quốc,0.18
C2,"CBCNV nhà nước, quản lý quan tâm sản phẩm cho bệnh lý",SOG03,Sữa nghệ Amilac Milk Organic,0.08
C2,"CBCNV nhà nước, quản lý quan tâm sản phẩm cho bệnh lý",SOG04,Sữa 9 loại hạt Vinamilk Super Nut,0.17
C2,"CBCNV nhà nước, quản lý quan tâm sản phẩm cho bệnh lý",SOG05,Sữa gạo Hàn Quốc,0.18
C2,"CBCNV nhà nước, quản lý quan tâm sản phẩm cho bệnh lý",TPK01,Miến rau câu keto,0.0
C2,"CBCNV nhà nước, quản lý quan tâm sản phẩm cho bệnh lý",TPK02,Bún gạo lứt,0.18
C2,"CBCNV nhà nước, quản lý quan tâm sản phẩm cho bệnh lý",TPK03,Yến mạch,0.29
C2,"CBCNV nhà nước, quản lý quan tâm sản phẩm cho bệnh lý",TPK05,Bún ngũ sắc,0.09
C2,"CBCNV nhà nước, quản lý quan tâm sản phẩm cho bệnh lý",TPK06,Nui ngũ sắc Fuma,0.23
C2,"CBCNV nhà nước, quản lý quan tâm sản phẩm cho bệnh lý",TPK06,Phở gạo lứt,0.23
C3,"Trưởng phòng, quản lý, cấp cao mua làm quà tặng, biếu gửi",BAN01,Bánh gạo lứt nguyên hạt,0.0
C3,"Trưởng phòng, quản lý, cấp cao mua làm quà tặng, biếu gửi",BAN02,Bánh Biscotti,0.0
C3,"Trưởng phòng, quản lý, cấp cao mua làm quà tặng, biếu gửi",BAN03,Bánh chuối yến mạch,0.0
C3,"Trưởng phòng, quản lý, cấp cao mua làm quà tặng, biếu gửi",BAN04,Bánh điều ngũ cốc,0.0
C3,"Trưởng phòng, quản lý, cấp cao mua làm quà tặng, biếu gửi",BAN05,Bánh mì hoa cúc pháp,0.03
C3,"Trưởng phòng, quản lý, cấp cao mua làm quà tặng, biếu gửi",BAN06,Bánh ngũ cốc hữu cơ Annie's organic chewy granola bars chocolate chip,0.0
C3,"Trưởng phòng, quản lý, cấp cao mua làm quà tặng, biếu gửi",BNC01,Bột ngũ cốc hàn quốc Damtuh,0.27
C3,"Trưởng phòng, quản lý, cấp cao mua làm quà tặng, biếu gửi",BNC02,Ngũ cốc Navan,0.07
C3,"Trưởng phòng, quản lý, cấp cao mua làm quà tặng, biếu gửi",BNC03,Ngũ Cốc Hồn Hợp Familia Bio Organic,0.0
C3,"Trưởng phòng, quản lý, cấp cao mua làm quà tặng, biếu gửi",BNC04,Ngũ Cốc Yến Mạch Hạnh Nhân Hạt Chia,0.0
C3,"Trưởng phòng, quản lý, cấp cao mua làm quà tặng, biếu gửi",BNC05,Ngũ cốc Sấy khô Calbee (đỏ),0.0
C3,"Trưởng phòng, quản lý, cấp cao mua làm quà tặng, biếu gửi",BNC06,Ngũ cốc Sấy khô Calbee (trắng),0.0
C3,"Trưởng phòng, quản lý, cấp cao mua làm quà tặng, biếu gửi",GVK01,Đường hộp ăn kiêng,0.0
C3,"Trưởng phòng, quản lý, cấp cao mua làm quà tặng, biếu gửi",GVK02,Bơ đậu phộng Skippy,0.0
C3,"Trưởng phòng, quản lý, cấp cao mua làm quà tặng, biếu gửi",HDD01,Granola,0.12
C3,"Trưởng phòng, quản lý, cấp cao mua làm quà tặng, biếu gửi",HDD02,Hạt hạnh nhân,0.44
C3,"Trưởng phòng, quản lý, cấp cao mua làm quà tặng, biếu gửi",HDD03,Hạt chia Úc,0.03
C3,"Trưởng phòng, quản lý, cấp cao mua làm quà tặng, biếu gửi",HQS01,Nho khô 3 màu,0.08
C3,"Trưởng phòng, quản lý, cấp cao mua làm quà tặng, biếu gửi",HQS02,Chà là nguyên cành,0.05
C3,"Trưởng phòng, quản lý, cấp cao mua làm quà tặng, biếu gửi",HQS03,Khoai dẻo không đường,0.05
C3,"Trưởng phòng, quản lý, cấp cao mua làm quà tặng, biếu gửi",HQS04,Táo đỏ khô Hàn Quốc,0.04
C3,"Trưởng phòng, quản lý, cấp cao mua làm quà tặng, biếu gửi",SOG01,Sữa Tươi Hữu Cơ TH True Milk Organic,0.08
C3,"Trưởng phòng, quản lý, cấp cao mua làm quà tặng, biếu gửi",SOG02,Sữa óc chó hạnh nhân đậu đen Hàn Quốc,0.18
C3,"Trưởng phòng, quản lý, cấp cao mua làm quà tặng, biếu gửi",SOG03,Sữa nghệ Amilac Milk Organic,0.04
C3,"Trưởng phòng, quản lý, cấp cao mua làm quà tặng, biếu gửi",SOG04,Sữa 9 loại hạt Vinamilk Super Nut,0.19
C3,"Trưởng phòng, quản lý, cấp cao mua làm quà tặng, biếu gửi",SOG05,Sữa gạo Hàn Quốc,0.1
C3,"Trưởng phòng, quản lý, cấp cao mua làm quà tặng, biếu gửi",TPK01,Miến rau câu keto,0.0
C3,"Trưởng phòng, quản lý, cấp cao mua làm quà tặng, biếu gửi",TPK02,Bún gạo lứt,0.0
C3,"Trưởng phòng, quản lý, cấp cao mua làm quà tặng, biếu gửi",TPK03,Yến mạch,0.0
C3,"Trưởng phòng, quản lý, cấp cao mua làm quà tặng, biếu gửi",TPK05,Bún ngũ sắc,0.0
C3,"Trưởng phòng, quản lý, cấp cao mua làm quà tặng, biếu gửi",TPK06,Nui ngũ sắc Fuma,0.0
C3,"Trưởng phòng, quản lý, cấp cao mua làm quà tặng, biếu gửi",TPK06,Phở gạo lứt,0.0
